layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
15,0.6783359023504472,0.5289441727995412,0.8277276319013531,850,0.43500511770726713,1104,0.5649948822927329,410,0.10128458498023715,3638,0.8987154150197628,0.7851462603505489,6002
16,0.702327682347101,0.5686583632924175,0.8359970014017843,940,0.481064483111566,1014,0.518935516888434,412,0.10177865612648221,3636,0.8982213438735178,0.8033063545496761,6002
17,0.6964153237559227,0.5583920199153732,0.8344386275964721,914,0.4677584442169908,1040,0.5322415557830092,405,0.10004940711462451,3643,0.8999505928853755,0.8030719167988304,6002
18,0.7094073892817365,0.5803994630459443,0.8384153155175289,968,0.4953940634595701,986,0.5046059365404298,414,0.10227272727272728,3634,0.8977272727272727,0.8089917723744404,6002
19,0.7104762621690572,0.5838642259203762,0.8370882984177384,987,0.5051177072671443,967,0.49488229273285567,438,0.10820158102766798,3610,0.891798418972332,0.8132778389120231,6002
20,0.7462477832765224,0.6390241069066256,0.8534714596464191,1107,0.5665301944728761,847,0.43346980552712383,404,0.09980237154150198,3644,0.900197628458498,0.8422672942386656,6002
21,0.7418046215749623,0.6338996733227686,0.849709569827156,1107,0.5665301944728761,847,0.43346980552712383,432,0.1067193675889328,3616,0.8932806324110671,0.8458448103088131,6002
22,0.7403774026418173,0.6318638341937396,0.8488909710898949,1104,0.5649948822927329,850,0.43500511770726713,436,0.10770750988142293,3612,0.892292490118577,0.8430985924316461,6002
23,0.7450800451977295,0.6391951943987383,0.8509648959967206,1122,0.5742067553735927,832,0.4257932446264074,434,0.10721343873517787,3614,0.8927865612648221,0.8461679758367913,6002
24,0.7412166023000304,0.6324889027286771,0.8499443018713837,1101,0.5634595701125895,853,0.43654042988741043,426,0.10523715415019763,3622,0.8947628458498024,0.8456980306947102,6002
25,0.7419747166933202,0.6345234508764233,0.8494259825102171,1111,0.5685772773797338,843,0.4314227226202661,437,0.10795454545454546,3611,0.8920454545454546,0.847415404887754,6002
26,0.7432544691318889,0.6360347524999439,0.8504741857638338,1113,0.5696008188331627,841,0.43039918116683723,431,0.10647233201581027,3617,0.8935276679841897,0.8473191495679195,6002
27,0.736537225167228,0.6258428402984826,0.8472316100359734,1090,0.5578300921187308,864,0.4421699078812692,438,0.10820158102766798,3610,0.891798418972332,0.8432608401141797,6002
28,0.7315100278332605,0.6183851763918844,0.8446348792746365,1076,0.5506653019447287,878,0.44933469805527126,447,0.11042490118577075,3601,0.8895750988142292,0.8376496674074779,6002
29,0.7314109050177694,0.6175301275304944,0.8452916825050444,1069,0.5470829068577278,885,0.45291709314227224,437,0.10795454545454546,3611,0.8920454545454546,0.8364222981248185,6002
30,0.73162479254185,0.6170718176012302,0.8461777674824698,1063,0.5440122824974412,891,0.45598771750255884,426,0.10523715415019763,3622,0.8947628458498024,0.8365547297326096,6002
31,0.7332658442586257,0.6201860830158479,0.8463456055014035,1073,0.5491299897645855,881,0.4508700102354145,432,0.1067193675889328,3616,0.8932806324110671,0.8372151273142515,6002
32,0.7308674970116567,0.6172380954110678,0.8444968986122454,1072,0.548618219037871,882,0.45138178096212894,445,0.1099308300395257,3603,0.8900691699604744,0.8373625791053303,6002
33,0.7319945020210642,0.6177650960471107,0.8462239079950177,1065,0.54503582395087,889,0.45496417604913,427,0.10548418972332016,3621,0.8945158102766798,0.8378132587694587,6002
34,0.7351373057096915,0.6236957020418084,0.8465789093775745,1085,0.5552712384851587,869,0.44472876151484136,439,0.10844861660079051,3609,0.8915513833992095,0.8385339263618841,6002
35,0.7316785538217145,0.617599651013038,0.8457574566303911,1067,0.5460593654042989,887,0.4539406345957011,432,0.1067193675889328,3616,0.8932806324110671,0.8390055255396451,6002
36,0.7282516273682715,0.6119431472140123,0.8445601075225309,1051,0.537871033776868,903,0.46212896622313204,429,0.10597826086956522,3619,0.8940217391304348,0.8375471397681986,6002
37,0.7324239731487818,0.6185929510535029,0.8462549952440608,1068,0.5465711361310133,886,0.4534288638689867,429,0.10597826086956522,3619,0.8940217391304348,0.8396688649265786,6002
38,0.732617698982569,0.6190446559796537,0.8461907419854844,1070,0.5475946775844421,884,0.4524053224155578,431,0.10647233201581027,3617,0.8935276679841897,0.8393400888903748,6002
39,0.7342957378306758,0.6214757560663866,0.8471157195949651,1074,0.5496417604912999,880,0.4503582395087001,427,0.10548418972332016,3621,0.8945158102766798,0.8378555651644458,6002
40,0.7319282441824446,0.6191430080393081,0.844713480325581,1077,0.5511770726714432,877,0.44882292732855683,447,0.11042490118577075,3601,0.8895750988142292,0.8385280229684989,6002
41,0.7276592312403063,0.6136566823602226,0.8416617801203898,1072,0.548618219037871,882,0.45138178096212894,466,0.11511857707509882,3582,0.8848814229249012,0.8391161454421955,6002
