layer,f1_macro,f1_honest_mistake,f1_natural_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
13,0.4906722882723418,0.7900334590367921,0.19131111750789156,3635,0.946121811556481,207,0.053878188443519,1725,0.882804503582395,229,0.11719549641760492,0.6037233798682871,5796
14,0.49045167579773374,0.7876846470466334,0.1932187045488341,3614,0.9406559083810515,228,0.059344091618948464,1720,0.8802456499488229,234,0.11975435005117707,0.6067310276869293,5796
15,0.4839723275185808,0.7863277853963566,0.181616869640805,3614,0.9406559083810515,228,0.059344091618948464,1736,0.8884339815762539,218,0.11156601842374617,0.6015260967889685,5796
16,0.4950755112015254,0.7871747922323034,0.20297623017074745,3601,0.9372722540343571,241,0.0627277459656429,1706,0.8730808597748209,248,0.1269191402251791,0.6047016270402221,5796
17,0.49393038559808494,0.7861132684045212,0.20174750279164866,3593,0.9351900052056221,249,0.06480999479437793,1706,0.8730808597748209,248,0.1269191402251791,0.6052140640327222,5796
18,0.496825909421316,0.787777019800208,0.20587479904242398,3603,0.9377928162415409,239,0.062207183758459135,1702,0.8710337768679631,252,0.12896622313203684,0.6076256785150421,5796
19,0.5029872866759979,0.7879875869910615,0.21798698636093433,3593,0.9351900052056221,249,0.06480999479437793,1684,0.8618219037871033,270,0.13817809621289662,0.6086190311950256,5796
20,0.500341568956825,0.7875182163863739,0.21316492152727626,3594,0.9354502863092139,248,0.06454971369078605,1691,0.8654042988741044,263,0.1345957011258956,0.6094727258757338,5796
21,0.5132484084071733,0.7890416093262795,0.2374552074880672,3582,0.9323269130661114,260,0.0676730869338886,1655,0.8469805527123848,299,0.15301944728761516,0.6144554222777916,5796
22,0.5017085757945688,0.7886613257383706,0.21475582585076705,3602,0.937532535137949,240,0.062467464862051014,1690,0.8648925281473899,264,0.13510747185261002,0.6068035121014246,5796
23,0.5055549139411644,0.7871131028526497,0.223996725029679,3580,0.9318063508589276,262,0.06819364914107236,1674,0.8567041965199591,280,0.14329580348004095,0.6143568967562605,5796
24,0.5162383945314397,0.7901053015160604,0.24237148754681903,3586,0.9333680374804789,256,0.06663196251952108,1649,0.8439099283520982,305,0.15609007164790173,0.6111209983572652,5796
25,0.5167946073785776,0.7903278105973528,0.24326140415980238,3587,0.9336283185840708,255,0.06637168141592921,1648,0.8433981576253838,306,0.15660184237461616,0.6113853646449858,5796
26,0.5174378292301122,0.7911242939182788,0.2437513645419455,3593,0.9351900052056221,249,0.06480999479437793,1648,0.8433981576253838,306,0.15660184237461616,0.6101054932714896,5796
27,0.5138049768548605,0.7894405405241248,0.23816941318559617,3585,0.933107756376887,257,0.06689224362311297,1655,0.8469805527123848,299,0.15301944728761516,0.6040331908422697,5796
28,0.5102664328764613,0.7876090164171538,0.23292384933576898,3575,0.9305049453409683,267,0.06949505465903176,1661,0.8500511770726714,293,0.14994882292732856,0.6048894589519225,5796
29,0.5017817905458862,0.7876121104860137,0.2159514706057588,3592,0.9349297241020302,250,0.0650702758979698,1687,0.8633572159672467,267,0.13664278403275332,0.6064340369885902,5796
30,0.509068094867531,0.7900669625556338,0.22806922717942832,3600,0.9370119729307652,242,0.06298802706923477,1671,0.8551688843398157,283,0.14483111566018425,0.608799989008318,5796
31,0.5059366903756866,0.7886022335484145,0.2232711472029585,3593,0.9351900052056221,249,0.06480999479437793,1677,0.8582395087001023,277,0.14176049129989765,0.6087044293035353,5796
32,0.5068136142355344,0.7887815717832627,0.22484565668780604,3593,0.9351900052056221,249,0.06480999479437793,1675,0.8572159672466735,279,0.14278403275332652,0.6057015947362,5796
33,0.5029440483674972,0.7881881783487893,0.21769991838620512,3595,0.9357105674128058,247,0.06428943258719418,1685,0.8623336745138178,269,0.13766632548618218,0.6070258646594404,5796
34,0.5116623738974126,0.7897843774593897,0.23354037033543573,3592,0.9349297241020302,250,0.0650702758979698,1662,0.8505629477993859,292,0.14943705220061412,0.6106990473767238,5796
35,0.5116265521497667,0.7905318242769955,0.23272128002253795,3599,0.9367516918271733,243,0.06324830817282666,1664,0.8515864892528148,290,0.14841351074718526,0.6058786928091429,5796
36,0.5044789337877562,0.7895277394225539,0.21943012815295854,3604,0.9380530973451328,238,0.061946902654867256,1683,0.861310133060389,271,0.13868986693961105,0.6068389711420034,5796
37,0.5096838900526489,0.7899053633047021,0.2294624168005957,3597,0.9362311296199896,245,0.06376887038001042,1668,0.8536335721596725,286,0.14636642784032752,0.6041206075324302,5796
38,0.5034102553980406,0.7885155374899943,0.21830497330608703,3597,0.9362311296199896,245,0.06376887038001042,1684,0.8618219037871033,270,0.13817809621289662,0.6017039111493678,5796
39,0.5080646839873366,0.7884221256873619,0.2277072422873113,3587,0.9336283185840708,255,0.06637168141592921,1670,0.8546571136131014,284,0.14534288638689866,0.6031631035159867,5796
40,0.5098122572594979,0.7893082158427613,0.23031629867623438,3592,0.9349297241020302,250,0.0650702758979698,1667,0.853121801432958,287,0.14687819856704196,0.5994419314645097,5796
41,0.4884538521891024,0.7872280407684994,0.1896796636097054,3614,0.9406559083810515,228,0.059344091618948464,1725,0.882804503582395,229,0.11719549641760492,0.5943965766056544,5796
