layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
21,0.6635972766159841,0.601839062452299,0.7253554907796692,1733,0.5780520346897932,1265,0.4219479653102068,1025,0.2532114624505929,3023,0.7467885375494071,0.745938619077122,7046
22,0.6615219162376356,0.6001403925999712,0.7229034398752998,1733,0.5780520346897932,1265,0.4219479653102068,1041,0.25716403162055335,3007,0.7428359683794467,0.7462330765150023,7046
23,0.6684189333895463,0.6105935938488638,0.7262442729302286,1777,0.5927284856571048,1221,0.40727151434289527,1044,0.25790513833992096,3004,0.7420948616600791,0.7475126085488595,7046
24,0.6693984493528855,0.6124818053118503,0.7263150933939206,1787,0.5960640426951301,1211,0.4039359573048699,1049,0.25914031620553357,2999,0.7408596837944664,0.7508886901051588,7046
25,0.6706347773875478,0.613358617209092,0.7279109375660038,1786,0.5957304869913276,1212,0.4042695130086724,1038,0.2564229249011858,3010,0.7435770750988142,0.752353854939382,7046
26,0.6725123507081224,0.6131171645382094,0.7319075368780354,1769,0.5900600400266844,1229,0.40993995997331556,1002,0.2475296442687747,3046,0.7524703557312253,0.7510926593452492,7046
27,0.6638569000504028,0.6020863295271454,0.7256274705736602,1731,0.5773849232821882,1267,0.4226150767178119,1021,0.2522233201581028,3027,0.7477766798418972,0.7466836775271173,7046
28,0.6596272271104551,0.5978638368630959,0.7213906173578143,1725,0.5753835890593729,1273,0.4246164109406271,1046,0.258399209486166,3002,0.741600790513834,0.7407072716542183,7046
29,0.6554854588237281,0.5902390388684602,0.720731878778996,1686,0.5623749166110741,1312,0.437625083388926,1028,0.25395256916996045,3020,0.7460474308300395,0.7340581428470846,7046
30,0.6600651761492422,0.5967810121088635,0.7233493401896208,1711,0.5707138092061375,1287,0.4292861907938626,1025,0.2532114624505929,3023,0.7467885375494071,0.7354610328409568,7046
31,0.6644247234778046,0.6038907753413042,0.7249586716143049,1745,0.5820547031354236,1253,0.4179452968645764,1034,0.2554347826086957,3014,0.7445652173913043,0.7386540282984217,7046
32,0.6617242856695731,0.6013224209317904,0.7221261504073556,1741,0.5807204803202135,1257,0.41927951967978655,1050,0.25938735177865613,2998,0.7406126482213439,0.7382772766865899,7046
33,0.6607224175281464,0.5993754366540813,0.7220693984022115,1731,0.5773849232821882,1267,0.4226150767178119,1045,0.25815217391304346,3003,0.7418478260869565,0.736183884495595,7046
34,0.6641722939942133,0.6036818510209674,0.7246627369674592,1745,0.5820547031354236,1253,0.4179452968645764,1036,0.25592885375494073,3012,0.7440711462450593,0.7346192732477219,7046
35,0.6623628722750072,0.6013512044536794,0.7233745400963352,1737,0.5793862575050034,1261,0.42061374249499667,1040,0.25691699604743085,3008,0.7430830039525692,0.7362569303690008,7046
36,0.6569701635357568,0.5984178871841557,0.715522439887358,1749,0.5833889259506337,1249,0.41661107404936626,1097,0.27099802371541504,2951,0.729001976284585,0.7340596083500495,7046
37,0.6565344714107584,0.5966693348079806,0.7163996080135362,1737,0.5793862575050034,1261,0.42061374249499667,1085,0.26803359683794464,2963,0.7319664031620553,0.7337569955302259,7046
38,0.6545889457064828,0.5950728926825029,0.7141049987304628,1736,0.5790527018012008,1262,0.4209472981987992,1099,0.2714920948616601,2949,0.72850790513834,0.7342068819768277,7046
39,0.6535755078144703,0.5935496651440422,0.7136013504848984,1730,0.5770513675783856,1268,0.4229486324216144,1099,0.2714920948616601,2949,0.72850790513834,0.7326359590773818,7046
40,0.6583356748115496,0.5989346771679686,0.7177366724551307,1745,0.5820547031354236,1253,0.4179452968645764,1081,0.26704545454545453,2967,0.7329545454545454,0.7341795592529419,7046
41,0.6577520322674957,0.5978393646897989,0.7176646998451923,1739,0.5800533689126084,1259,0.4199466310873916,1078,0.266304347826087,2970,0.7336956521739131,0.73260028382681,7046
