layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
10,0.3276419164139205,0.4679457535288825,0.537491788216922,0.004377638710063778,0.30075248519981357,2079,0.5230188679245283,1453,0.36553459119496856,4,0.0010062893081761006,439,0.11044025157232705,1033,0.25544015825914934,2734,0.6760633036597429,10,0.002472799208704253,267,0.06602373887240356,546,0.3026607538802661,1146,0.6352549889135255,4,0.0022172949002217295,108,0.0598669623059867,1251,0.46924231057764443,796,0.29857464366091524,3,0.0011252813203300824,616,0.23105776444111029
11,0.3342227397295686,0.46991942080912363,0.5392105557033529,0.002203873474591707,0.32555710893120626,2075,0.5220125786163522,1463,0.3680503144654088,6,0.0015094339622641509,431,0.10842767295597484,1033,0.25544015825914934,2751,0.68026706231454,9,0.002225519287833828,251,0.06206726013847676,550,0.3048780487804878,1151,0.6380266075388027,2,0.0011086474501108647,101,0.05598669623059867,1196,0.4486121530382596,795,0.2981995498874719,4,0.0015003750937734434,671,0.2516879219804951
12,0.3335853287499893,0.47155011288220805,0.5429794237653155,0.003302757848212394,0.31650902050422136,2081,0.5235220125786163,1455,0.3660377358490566,2,0.0005031446540880503,437,0.10993710691823899,1006,0.24876360039564788,2774,0.6859545004945599,5,0.0012363996043521265,259,0.06404549950544015,541,0.2998891352549889,1152,0.6385809312638581,3,0.0016629711751662971,108,0.0598669623059867,1220,0.4576144036009002,793,0.29744936234058517,1,0.00037509377344336085,652,0.24456114028507125
13,0.33849433404311585,0.4788477693438991,0.5429862915272541,0.0,0.3321432753013103,2123,0.5340880503144654,1439,0.3620125786163522,2,0.0005031446540880503,411,0.10339622641509434,1023,0.2529673590504451,2762,0.6829871414441148,5,0.0012363996043521265,254,0.06280909990108803,545,0.30210643015521066,1150,0.6374722838137472,0,0.0,109,0.06042128603104213,1200,0.450112528132033,778,0.29182295573893474,3,0.0011252813203300824,685,0.2569392348087022
14,0.3424142462709463,0.48234617674547564,0.5474859862429089,0.0,0.33982482209540066,2139,0.5381132075471698,1395,0.35094339622641507,0,0.0,441,0.1109433962264151,1024,0.2532146389713155,2765,0.683728981206726,5,0.0012363996043521265,250,0.06181998021760633,506,0.2804878048780488,1170,0.6485587583148559,0,0.0,128,0.07095343680709534,1225,0.459489872468117,727,0.2726931732933233,1,0.00037509377344336085,713,0.26744186046511625
15,0.3474475426236955,0.49639890626234573,0.5603454105597201,0.0,0.333045853672716,2227,0.560251572327044,1305,0.3283018867924528,1,0.00025157232704402514,442,0.11119496855345912,984,0.2433234421364985,2816,0.6963402571711177,8,0.0019782393669634025,236,0.058358061325420374,522,0.2893569844789357,1174,0.6507760532150776,0,0.0,108,0.0598669623059867,1265,0.47449362340585144,711,0.26669167291822954,1,0.00037509377344336085,689,0.2584396099024756
16,0.35307218710629457,0.5000699900737884,0.5670914425759248,0.004360375863240122,0.34076693991222484,2255,0.5672955974842767,1283,0.3227672955974843,3,0.0007547169811320754,434,0.10918238993710692,970,0.23986152324431256,2827,0.6990603363006924,14,0.0034619188921859545,233,0.0576162215628091,529,0.2932372505543237,1151,0.6380266075388027,4,0.0022172949002217295,120,0.06651884700665188,1290,0.4838709677419355,664,0.2490622655663916,3,0.0011252813203300824,709,0.2659414853713428
17,0.3508518166699221,0.5022490760782932,0.5743536667783156,0.001092896174863388,0.3257116276482163,2275,0.5723270440251572,1240,0.3119496855345912,3,0.0007547169811320754,457,0.1149685534591195,942,0.23293768545994065,2854,0.7057368941641938,13,0.003214638971315529,235,0.05811078140454995,531,0.2943458980044346,1151,0.6380266075388027,1,0.0005543237250554324,121,0.06707317073170732,1336,0.5011252813203301,648,0.24306076519129782,5,0.0018754688672168042,677,0.2539384846211553
18,0.3592096695496656,0.5079405980244325,0.5834966105315852,0.004398698024110742,0.3410027716185339,2308,0.58062893081761,1186,0.29836477987421384,3,0.0007547169811320754,478,0.12025157232704403,931,0.23021760633036598,2878,0.7116716122650841,7,0.0017309594460929772,228,0.05637982195845697,540,0.29933481152993346,1143,0.6335920177383592,4,0.0022172949002217295,117,0.06485587583148558,1333,0.5,613,0.22993248312078018,3,0.0011252813203300824,717,0.26894223555888974
19,0.3574441944463934,0.517223391917013,0.5780299163554447,0.005500560046014592,0.3290229094671012,2371,0.5964779874213837,1154,0.290314465408805,1,0.00025157232704402514,449,0.1129559748427673,961,0.23763600395647874,2850,0.7047477744807121,5,0.0012363996043521265,228,0.05637982195845697,509,0.2821507760532151,1179,0.6535476718403548,5,0.002771618625277162,111,0.061529933481152994,1351,0.5067516879219804,633,0.2374343585896474,1,0.00037509377344336085,681,0.25543885971492875
