layer,f1_macro,f1_capable_failed,f1_honest_mistake,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,auroc,n_samples
13,0.6646823263825925,0.6505898704988003,0.6787747822663845,2499,0.6286792452830189,1476,0.3713207547169811,1208,0.2987141444114738,2836,0.7012858555885262,0.7384576027628651,8019
14,0.6689381833614819,0.6566704239781924,0.6812059427447714,2536,0.6379874213836478,1439,0.3620125786163522,1212,0.2997032640949555,2832,0.7002967359050445,0.743032463110574,8019
15,0.6833587683401299,0.6729670632984888,0.6937504733817709,2611,0.6568553459119497,1364,0.34314465408805034,1172,0.2898120672601385,2872,0.7101879327398615,0.751753161106861,8019
16,0.6885148344830119,0.6791010677105619,0.697928601255462,2642,0.6646540880503145,1333,0.33534591194968555,1162,0.2873392680514342,2882,0.7126607319485658,0.7621712175998717,8019
17,0.6976111768290492,0.6876664670101911,0.7075558866479071,2667,0.6709433962264151,1308,0.3290566037735849,1114,0.2754698318496538,2930,0.7245301681503462,0.7665569087752817,8019
18,0.7067283948162429,0.6997522346027205,0.7137045550297654,2739,0.6890566037735849,1236,0.3109433962264151,1114,0.2754698318496538,2930,0.7245301681503462,0.7767505103823348,8019
19,0.7110425899704238,0.7051928713164509,0.7168923086243966,2771,0.6971069182389937,1204,0.30289308176100627,1112,0.27497527200791294,2932,0.7250247279920871,0.7818726426832576,8019
20,0.7122082446602531,0.7076488519636659,0.7167676373568405,2792,0.7023899371069182,1183,0.2976100628930818,1124,0.27794263105835804,2920,0.722057368941642,0.7910383585528364,8019
21,0.7156495094490464,0.7097052176299867,0.721593801268106,2787,0.7011320754716981,1188,0.2988679245283019,1091,0.269782393669634,2953,0.7302176063303659,0.7873284903297336,8019
22,0.7237169282088212,0.7203029117058856,0.7271309447117569,2852,0.7174842767295597,1123,0.2825157232704403,1092,0.27002967359050445,2952,0.7299703264094956,0.7969866409641642,8019
23,0.7169440700468979,0.7125747599691421,0.7213133801246535,2813,0.7076729559748428,1162,0.29232704402515725,1107,0.2737388724035608,2937,0.7262611275964391,0.7930340283369476,8019
24,0.7192212548348498,0.71586770384259,0.7225748058271096,2836,0.7134591194968554,1139,0.28654088050314463,1112,0.27497527200791294,2932,0.7250247279920871,0.793094837015945,8019
25,0.7139231630749356,0.7090687304106639,0.7187775957392075,2794,0.7028930817610063,1181,0.2971069182389937,1112,0.27497527200791294,2932,0.7250247279920871,0.7900974893183981,8019
26,0.7114249722018436,0.706651763704705,0.7161981806989823,2785,0.70062893081761,1190,0.2993710691823899,1123,0.2776953511374876,2921,0.7223046488625123,0.7867808404438177,8019
27,0.7112348383746456,0.7038790170488559,0.7185906597004352,2751,0.6920754716981132,1224,0.30792452830188677,1090,0.2695351137487636,2954,0.7304648862512364,0.7837334563038598,8019
28,0.7086411549895459,0.702390280161185,0.7148920298179068,2756,0.6933333333333334,1219,0.30666666666666664,1116,0.27596439169139464,2928,0.7240356083086054,0.7836273095555936,8019
29,0.707439249088382,0.7001222856008082,0.7147562125759557,2738,0.6888050314465409,1237,0.31119496855345913,1107,0.2737388724035608,2937,0.7262611275964391,0.7807616625528961,8019
30,0.7081296241143024,0.7013316231224378,0.7149276251061669,2746,0.6908176100628931,1229,0.3091823899371069,1110,0.2744807121661721,2934,0.7255192878338279,0.7794275889794824,8019
31,0.7086057243189854,0.7019312908610588,0.7152801577769119,2750,0.6918238993710691,1225,0.3081761006289308,1110,0.2744807121661721,2934,0.7255192878338279,0.7771024863815299,8019
32,0.706492968426514,0.6993563477969815,0.7136295890560463,2736,0.6883018867924529,1239,0.31169811320754715,1113,0.27522255192878337,2931,0.7247774480712166,0.7787255004741093,8019
33,0.7022071750814098,0.6943426959013759,0.7100716542614439,2710,0.6817610062893081,1265,0.3182389937106918,1121,0.27720079129574676,2923,0.7227992087042532,0.776182988048321,8019
34,0.7054530712493912,0.6982528265822913,0.7126533159164912,2732,0.6872955974842767,1243,0.3127044025157233,1117,0.27621167161226506,2927,0.7237883283877349,0.7768344376126629,8019
35,0.7021747254099611,0.6962067003396666,0.7081427504802554,2736,0.6883018867924529,1239,0.31169811320754715,1148,0.2838773491592483,2896,0.7161226508407518,0.7786518247645368,8019
