layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
15,0.6929903005078739,0.6179064558537263,0.7680741451620217,1043,0.5781596452328159,761,0.421840354767184,529,0.1984246061515379,2137,0.8015753938484621,0.7847129784468269,4470
16,0.703830318134196,0.6312734334457407,0.7763872028226515,1065,0.5903547671840355,739,0.40964523281596454,505,0.18942235558889722,2161,0.8105776444111028,0.7922398970769715,4470
17,0.6962389449288818,0.6219355845694858,0.7705423052882778,1050,0.582039911308204,754,0.417960088691796,522,0.19579894973743436,2144,0.8042010502625656,0.7856465518427177,4470
18,0.71407889871327,0.6468613103672483,0.7812964870592919,1107,0.6136363636363636,697,0.38636363636363635,510,0.19129782445611404,2156,0.808702175543886,0.8045955766133078,4470
19,0.7133713347353607,0.6440555848415641,0.7826870846291575,1091,0.6047671840354767,713,0.39523281596452325,493,0.1849212303075769,2173,0.8150787696924231,0.8041691518114193,4470
20,0.7215707604003745,0.6569514821386832,0.7861900386620659,1128,0.6252771618625277,676,0.37472283813747226,501,0.1879219804951238,2165,0.8120780195048762,0.8137422825912216,4470
21,0.7216829170595778,0.6571908962355132,0.7861749378836423,1129,0.6258314855875832,675,0.37416851441241683,502,0.18829707426856715,2164,0.8117029257314329,0.8130543930356804,4470
22,0.7323300481938443,0.6707090983723227,0.7939509980153658,1154,0.6396895787139689,650,0.360310421286031,483,0.1811702925731433,2183,0.8188297074268567,0.8240507659358212,4470
23,0.727561462382879,0.6652543098742406,0.7898686148915175,1147,0.635809312638581,657,0.3641906873614191,497,0.18642160540135033,2169,0.8135783945986497,0.8217040740966318,4470
24,0.7264964326833931,0.663231095522135,0.7897617698446513,1140,0.6319290465631929,664,0.36807095343680707,493,0.1849212303075769,2173,0.8150787696924231,0.8230860523440701,4470
25,0.7283762418435045,0.6661156284901323,0.7906368551968768,1148,0.6363636363636364,656,0.36363636363636365,494,0.18529632408102026,2172,0.8147036759189797,0.8178254193297134,4470
26,0.7210842573116356,0.6552286814578551,0.786939833165416,1119,0.6202882483370288,685,0.37971175166297116,492,0.18454613653413354,2174,0.8154538634658665,0.8104565381461949,4470
27,0.7159749943559601,0.6496184194752717,0.7823315692366487,1113,0.6169623059866962,691,0.3830376940133038,509,0.19092273068267065,2157,0.8090772693173294,0.8037439549912705,4470
28,0.7093736800687439,0.6410176201318096,0.7777297400056782,1097,0.6080931263858093,707,0.3919068736141907,520,0.19504876219054765,2146,0.8049512378094523,0.8026260026260139,4470
29,0.7030469165028612,0.6315522402154021,0.7745415927903204,1073,0.594789356984479,731,0.40521064301552107,519,0.1946736684171043,2147,0.8053263315828957,0.7952210837210713,4470
30,0.7084256451602863,0.6402678565266473,0.7765834337939252,1097,0.6080931263858093,707,0.3919068736141907,525,0.19692423105776444,2141,0.8030757689422355,0.80051604995578,4470
31,0.7069212624750737,0.6368530041246866,0.7769895208254608,1084,0.6008869179600886,720,0.3991130820399113,515,0.19317329332333083,2151,0.8068267066766691,0.7990318662353596,4470
32,0.71115892777154,0.6429859809839844,0.7793318745590956,1099,0.6092017738359202,705,0.39079822616407983,514,0.19279819954988747,2152,0.8072018004501126,0.8027508811809276,4470
33,0.7018841788038123,0.6329022618914943,0.7708660957161302,1088,0.6031042128603105,716,0.3968957871396896,545,0.20442610652663165,2121,0.7955738934733684,0.7955606109179091,4470
34,0.6960707374062763,0.6231592878712083,0.7689821869413443,1059,0.5870288248337029,745,0.4129711751662971,535,0.20067516879219804,2131,0.799324831207802,0.7893942991640915,4470
35,0.7026058717282042,0.63093220097539,0.7742795424810185,1071,0.593680709534368,733,0.4063192904656319,519,0.1946736684171043,2147,0.8053263315828957,0.7935217737688189,4470
