layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
22,0.5741518315729472,0.738765117356903,0.4095385457889914,3401,0.8555974842767295,574,0.14440251572327045,1831,0.6867966991747937,835,0.3132033008252063,0.6455770546648896,6641
23,0.5746982463009338,0.7395256972039814,0.4098707953978861,3407,0.8571069182389938,568,0.1428930817610063,1832,0.687171792948237,834,0.31282820705176295,0.6441358838108528,6641
24,0.5700783353666701,0.7359383731403956,0.4042182975929447,3386,0.8518238993710692,589,0.14817610062893083,1841,0.6905476369092273,825,0.3094523630907727,0.6423339944330446,6641
25,0.569701359628044,0.7372782579844173,0.4021244612716707,3401,0.8555974842767295,574,0.14440251572327045,1850,0.6939234808702176,816,0.30607651912978245,0.6357820052980785,6641
26,0.5684794766266118,0.738249213764892,0.39870973948833155,3415,0.8591194968553459,560,0.14088050314465408,1862,0.6984246061515379,804,0.3015753938484621,0.6324411779692884,6641
27,0.5663713092346445,0.7367154175113775,0.39602720095791144,3407,0.8571069182389938,568,0.1428930817610063,1867,0.7003000750187547,799,0.2996999249812453,0.6303675531430873,6641
28,0.5617096977194656,0.7339716423592784,0.38944775307965285,3395,0.8540880503144654,580,0.1459119496855346,1881,0.7055513878469617,785,0.29444861215303825,0.6279154570185973,6641
29,0.5621771729893478,0.7352527277779424,0.3891016182007531,3406,0.8568553459119497,569,0.14314465408805033,1884,0.7066766691672918,782,0.2933233308327082,0.6302753456653465,6641
30,0.5635698403878364,0.7322795670159021,0.39486011375977065,3371,0.8480503144654088,604,0.1519496855345912,1861,0.6980495123780945,805,0.30195048762190546,0.6317390289996897,6641
31,0.5624008534654779,0.7349883159668589,0.38981339096409695,3403,0.8561006289308176,572,0.14389937106918238,1882,0.705926481620405,784,0.2940735183795949,0.6284411724892187,6641
32,0.5546084694545393,0.733014439494425,0.37620249941465367,3409,0.8576100628930817,566,0.14238993710691825,1917,0.7190547636909227,749,0.28094523630907725,0.6249937896225066,6641
33,0.5481056261727577,0.7329084358499984,0.36330281649551693,3429,0.8626415094339622,546,0.13735849056603774,1953,0.7325581395348837,713,0.26744186046511625,0.6206243019263904,6641
34,0.5422218443599984,0.7307701584320101,0.35367353028798687,3426,0.8618867924528302,549,0.13811320754716983,1975,0.7408102025506377,691,0.2591897974493623,0.6145074365210148,6641
35,0.5529063796840519,0.7292530989812035,0.3765596603869002,3377,0.8495597484276729,598,0.15044025157232704,1909,0.7160540135033758,757,0.28394598649662417,0.6209841816459293,6641
