layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
16,0.7313239393262789,0.738255889134931,0.724391989517627,1854,0.7424909891870244,643,0.25750901081297556,672,0.279766860949209,1730,0.720233139050791,0.8086385329321152,4899
17,0.7323928320143966,0.7391893745412611,0.7255962894875322,1856,0.7432919503404085,641,0.2567080496595915,669,0.2785179017485429,1733,0.7214820982514571,0.8105445341965984,4899
18,0.737490111530646,0.7443235220428245,0.7306567010184677,1870,0.748898678414097,627,0.2511013215859031,658,0.2739383846794338,1744,0.7260616153205662,0.8200916908800275,4899
19,0.7470422850701793,0.7540423284927616,0.740042241647597,1898,0.7601121345614738,599,0.23988786543852622,639,0.26602830974188174,1763,0.7339716902581183,0.8268167883723094,4899
20,0.7543714239911363,0.7621032503954269,0.7466395975868458,1926,0.7713255907088507,571,0.22867440929114938,631,0.2626977518734388,1771,0.7373022481265612,0.8319852402518135,4899
21,0.7529826015907415,0.7595353351839405,0.7464298679975424,1909,0.7645174209050861,588,0.2354825790949139,621,0.2585345545378851,1781,0.7414654454621149,0.830784296246686,4899
22,0.7630134763610232,0.7688682102849775,0.7571587424370689,1928,0.7721265518622347,569,0.2278734481377653,591,0.246044962531224,1811,0.753955037468776,0.8400155352145733,4899
23,0.7536974895074791,0.7580144386385352,0.7493805403764229,1888,0.7561073287945534,609,0.24389267120544653,597,0.2485428809325562,1805,0.7514571190674438,0.8361417530105255,4899
24,0.751202655745977,0.7570743982954413,0.7453309131965128,1898,0.7601121345614738,599,0.23988786543852622,619,0.25770191507077433,1783,0.7422980849292257,0.8323234260239121,4899
25,0.7489391823088898,0.7554534386227216,0.7424249259950579,1898,0.7601121345614738,599,0.23988786543852622,630,0.2622814321398834,1772,0.7377185678601166,0.8322943789450002,4899
26,0.7433650323883987,0.7508839404853163,0.7358461242914812,1893,0.7581097316780137,604,0.24189026832198637,652,0.2714404662781016,1750,0.7285595337218984,0.8216383686534539,4899
27,0.741672230810367,0.7500507388372778,0.7332937227834563,1896,0.7593111734080897,601,0.2406888265919103,663,0.2760199833472107,1739,0.7239800166527893,0.8218276669468528,4899
28,0.7392178880267817,0.747730226394016,0.7307055496595473,1891,0.7573087705246295,606,0.24269122947537045,670,0.27893422148209823,1732,0.7210657785179018,0.8174646526941618,4899
29,0.7369649428002827,0.7456313315369469,0.7282985540636184,1886,0.7553063676411694,611,0.2446936323588306,676,0.28143213988343047,1726,0.7185678601165695,0.8134818958047767,4899
30,0.7322393364249846,0.7412684254282401,0.7232102474217292,1876,0.7513015618742491,621,0.2486984381257509,689,0.2868442964196503,1713,0.7131557035803497,0.8107335369352704,4899
31,0.731162604259169,0.7411960417557145,0.7211291667626236,1883,0.7541049259110933,614,0.24589507408890668,701,0.2918401332223147,1701,0.7081598667776853,0.8119504494783051,4899
32,0.7336664028447634,0.7431361824980001,0.7241966231915267,1884,0.7545054064877853,613,0.24549459351221467,690,0.28726061615320564,1712,0.7127393838467944,0.812451020410537,4899
33,0.7308899927258626,0.7419931977777487,0.7197867876739765,1892,0.7577092511013216,605,0.2422907488986784,711,0.2960033305578684,1691,0.7039966694421316,0.8103464389346954,4899
34,0.7334742919123178,0.7451726004729526,0.721775983351683,1905,0.762915498598318,592,0.23708450140168202,711,0.2960033305578684,1691,0.7039966694421316,0.8048397302227464,4899
35,0.728934805926837,0.739072987660298,0.7187966241933761,1878,0.7521025230276331,619,0.24789747697236683,707,0.29433805162364696,1695,0.705661948376353,0.8041126358052209,4899
