layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
15,0.5788794375474382,0.7125082906937583,0.445250584401118,2695,0.8068862275449101,645,0.19311377245508982,1529,0.6365528726061616,873,0.36344712739383844,0.648115584060569,5742
16,0.5673846115217183,0.7097018996590555,0.4250673233843809,2708,0.8107784431137725,632,0.18922155688622755,1583,0.6590341382181515,819,0.34096586178184846,0.6423324141737315,5742
17,0.5677905011451267,0.7090320661677085,0.4265489361225449,2701,0.8086826347305389,639,0.19131736526946108,1577,0.6565362198168193,825,0.3434637801831807,0.6381186237192973,5742
18,0.5711346785013101,0.7112213631852388,0.43104799381738124,2709,0.8110778443113772,631,0.18892215568862275,1568,0.652789342214821,834,0.347210657785179,0.6412370425469228,5742
19,0.5738105921375223,0.7097966938320027,0.43782449044304184,2688,0.8047904191616766,652,0.19520958083832335,1546,0.6436303080766028,856,0.3563696919233972,0.6409362291529208,5742
20,0.5739544398356731,0.7099111273427166,0.43799775232862953,2689,0.8050898203592814,651,0.19491017964071855,1546,0.6436303080766028,856,0.3563696919233972,0.6362912260198936,5742
21,0.5651344478551422,0.70648801911566,0.42378087659462443,2688,0.8047904191616766,652,0.19520958083832335,1581,0.6582014987510408,821,0.3417985012489592,0.6361684472790387,5742
22,0.5643705505702687,0.70967338469785,0.4190677164426875,2717,0.8134730538922156,623,0.18652694610778442,1600,0.6661115736885929,802,0.33388842631140714,0.6348782398819826,5742
23,0.5683393744902342,0.711369941312174,0.42530880766829443,2720,0.8143712574850299,620,0.18562874251497005,1586,0.6602830974188176,816,0.33971690258118237,0.6355916999161759,5742
24,0.5658726846698043,0.7120024011259789,0.4197429682136297,2733,0.8182634730538922,607,0.18173652694610778,1603,0.667360532889259,799,0.33263946711074105,0.634198839846295,5742
25,0.5647135949197484,0.7096561383195678,0.419771051519929,2716,0.8131736526946107,624,0.18682634730538922,1598,0.6652789342214821,804,0.3347210657785179,0.6357992357281278,5742
26,0.5592752464381179,0.7093114850222897,0.409239007853946,2730,0.8173652694610778,610,0.18263473053892215,1627,0.6773522064945878,775,0.3226477935054122,0.6333866362908279,5742
27,0.5605027634763735,0.7108393902450819,0.41016613670766516,2739,0.8200598802395209,601,0.17994011976047905,1627,0.6773522064945878,775,0.3226477935054122,0.6347730746926107,5742
28,0.558002324211777,0.7108523265672645,0.4051523218562895,2747,0.8224550898203593,593,0.17754491017964072,1641,0.6831806827643631,761,0.31681931723563694,0.6255520637519141,5742
29,0.5638400097473656,0.7124424038548356,0.41523761563989553,2743,0.8212574850299401,597,0.17874251497005988,1616,0.6727726894254787,786,0.32722731057452126,0.6299835905112852,5742
30,0.5596857108024675,0.7117902607277388,0.4075811608771964,2750,0.8233532934131736,590,0.17664670658682635,1636,0.6810990840965861,766,0.3189009159034138,0.6287306468144791,5742
31,0.5608588055295938,0.7115188087646072,0.4101988022945804,2744,0.8215568862275449,596,0.1784431137724551,1628,0.6777685262281432,774,0.3222314737718568,0.6271664480290978,5742
32,0.5616524652637749,0.7138620384982025,0.4094428920293473,2762,0.8269461077844311,578,0.17305389221556886,1635,0.6806827643630308,767,0.3193172356369692,0.6267114692133405,5742
33,0.5550004222634918,0.7091167362764768,0.4008841082505068,2742,0.8209580838323354,598,0.17904191616766468,1650,0.6869275603663614,752,0.3130724396336386,0.6253924155327597,5742
34,0.5551142814956377,0.7142447658849486,0.39598379710632686,2784,0.8335329341317366,556,0.1664670658682635,1671,0.6956702747710242,731,0.30432972522897583,0.623107611440321,5742
35,0.5556368796559701,0.7128362824339888,0.3984374768779513,2771,0.8296407185628742,569,0.17035928143712575,1663,0.6923397169025812,739,0.30766028309741883,0.6197156388885431,5742
