layer,f1_macro,f1_capable_failed,f1_deception,f1_deception_rejection,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_deception,cm_norm_capable_failed_deception,cm_capable_failed_deception_rejection,cm_norm_capable_failed_deception_rejection,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_deception_capable_failed,cm_norm_deception_capable_failed,cm_deception_deception,cm_norm_deception_deception,cm_deception_deception_rejection,cm_norm_deception_deception_rejection,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_deception_truth,cm_norm_deception_truth,cm_deception_rejection_capable_failed,cm_norm_deception_rejection_capable_failed,cm_deception_rejection_deception,cm_norm_deception_rejection_deception,cm_deception_rejection_deception_rejection,cm_norm_deception_rejection_deception_rejection,cm_deception_rejection_honest_mistake,cm_norm_deception_rejection_honest_mistake,cm_deception_rejection_natural_deception,cm_norm_deception_rejection_natural_deception,cm_deception_rejection_truth,cm_norm_deception_rejection_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_deception_rejection,cm_norm_honest_mistake_deception_rejection,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_deception_rejection,cm_norm_natural_deception_deception_rejection,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_deception,cm_norm_truth_deception,cm_truth_deception_rejection,cm_norm_truth_deception_rejection,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
10,0.3739301080817212,0.16932008348349498,0.9403266063530126,0.030146147162014615,0.5599137554289985,0.04778285750986746,0.496091198552939,232,0.10810810810810811,7,0.0032618825722274,0,0.0,1211,0.5643056849953402,37,0.017241379310344827,659,0.3070829450139795,1,0.00014232849416453175,6855,0.9756618274978651,17,0.0024195844007970395,39,0.005550811272416738,1,0.00014232849416453175,113,0.016083119840592085,0,0.0,532,0.9516994633273703,9,0.016100178890876567,6,0.01073345259391771,1,0.0017889087656529517,11,0.01967799642218247,139,0.026466108149276465,25,0.00476009139375476,4,0.0007616146230007616,3887,0.7400990099009901,96,0.01827875095201828,1101,0.20963442498095963,78,0.02686875645883569,19,0.006544953496383052,0,0.0,1936,0.6668963141577678,76,0.026179813985532208,794,0.27351016190148125,141,0.03418181818181818,116,0.02812121212121212,3,0.0007272727272727272,1553,0.3764848484848485,67,0.016242424242424242,2245,0.5442424242424242
11,0.37775304872535437,0.1731268338338086,0.9390331538238831,0.02995039272426623,0.5563541455185517,0.06151778978851348,0.5065359766631029,239,0.11136999068033551,6,0.0027958993476234857,1,0.00046598322460391424,1245,0.5801491146318732,25,0.011649580615097856,630,0.293569431500466,1,0.00014232849416453175,6839,0.9733845715912326,21,0.0029888983774551663,45,0.0064047822374039285,3,0.0004269854824935952,117,0.016652433817250213,0,0.0,532,0.9516994633273703,9,0.016100178890876567,10,0.017889087656529516,0,0.0,8,0.014311270125223614,158,0.030083777608530083,28,0.005331302361005331,4,0.0007616146230007616,3875,0.7378141660319878,92,0.017517136329017517,1095,0.20849200304645849,85,0.029280055115397864,21,0.007233895969686531,0,0.0,1962,0.6758525663107131,98,0.033758181191870476,737,0.25387530141233206,132,0.032,114,0.027636363636363636,5,0.0012121212121212121,1540,0.37333333333333335,57,0.013818181818181818,2277,0.552
12,0.3869853006942338,0.18346773985292797,0.9420371149707224,0.05559113616029624,0.5640204339678023,0.0661357533201142,0.5106596258935399,255,0.11882572227399814,1,0.00046598322460391424,1,0.00046598322460391424,1159,0.5400745573159367,34,0.015843429636533086,696,0.32432432432432434,0,0.0,6859,0.9762311414745232,25,0.0035582123541132936,34,0.004839168801594079,0,0.0,108,0.015371477369769428,0,0.0,527,0.9427549194991055,17,0.03041144901610018,7,0.012522361359570662,0,0.0,8,0.014311270125223614,165,0.031416603198781416,19,0.0036176694592536178,1,0.0001904036557501904,3896,0.7418126428027418,102,0.01942117288651942,1069,0.20354150799695353,93,0.03203582500861178,12,0.004133654839820875,1,0.0003444712366517396,1955,0.6734412676541509,106,0.036513951085084394,736,0.25353083017568034,120,0.02909090909090909,118,0.028606060606060607,4,0.0009696969696969697,1512,0.36654545454545456,59,0.014303030303030304,2312,0.5604848484848485
13,0.3941401378292723,0.18644198676686144,0.9443535845697889,0.08620198385503053,0.5629249148290089,0.0648418073402463,0.5200765496146976,262,0.12208760484622554,0,0.0,1,0.00046598322460391424,1158,0.5396085740913327,28,0.0130475302889096,697,0.32479030754892824,0,0.0,6856,0.9758041559920296,27,0.003842869342442357,21,0.0029888983774551663,0,0.0,122,0.017364076288072874,0,0.0,519,0.9284436493738819,27,0.04830053667262969,6,0.01073345259391771,0,0.0,7,0.012522361359570662,166,0.031607006854531605,7,0.0013328255902513328,3,0.0005712109672505713,3867,0.7362909367859863,122,0.023229246001523228,1087,0.20696877380045697,98,0.033758181191870476,4,0.0013778849466069584,0,0.0,1975,0.6803306923871857,104,0.035825008611780916,722,0.24870823286255597,137,0.033212121212121214,108,0.02618181818181818,1,0.00024242424242424242,1460,0.35393939393939394,43,0.010424242424242424,2376,0.576
14,0.4002401720499977,0.1664043460725136,0.946374722006319,0.11912390796111724,0.5749284076331477,0.06469906091814565,0.5299105877087424,225,0.1048462255358807,0,0.0,0,0.0,1151,0.5363466915191053,33,0.01537744641192917,737,0.34342963653308484,0,0.0,6874,0.9783660688869912,32,0.004554511813265016,9,0.0012809564474807857,0,0.0,111,0.015798462852263023,0,0.0,515,0.9212880143112702,38,0.06797853309481217,3,0.005366726296958855,0,0.0,3,0.005366726296958855,131,0.024942878903274943,2,0.0003808073115003808,0,0.0,3964,0.7547600913937548,118,0.02246763137852247,1037,0.19744859101294746,78,0.02686875645883569,3,0.0010334137099552187,0,0.0,1997,0.6879090595935239,104,0.035825008611780916,721,0.24836376162590423,121,0.029333333333333333,107,0.02593939393939394,1,0.00024242424242424242,1414,0.3427878787878788,54,0.01309090909090909,2428,0.5886060606060606
15,0.42416354670003314,0.17500332953467468,0.9479368064049156,0.22422278114096125,0.5828133553597974,0.07184154029425208,0.5431634674655982,244,0.11369990680335508,0,0.0,0,0.0,1111,0.5177073625349488,24,0.011183597390493943,767,0.3574091332712022,0,0.0,6864,0.9769427839453458,51,0.007258753202391118,5,0.0007116424708226587,0,0.0,106,0.015086820381440364,0,0.0,477,0.853309481216458,77,0.13774597495527727,2,0.0035778175313059034,0,0.0,3,0.005366726296958855,161,0.030654988575780653,2,0.0003808073115003808,0,0.0,3989,0.7595201827875095,122,0.023229246001523228,978,0.18621477532368622,95,0.03272476748191526,2,0.0006889424733034792,0,0.0,1999,0.6885980020668274,116,0.03995866345160179,691,0.23802962452635204,140,0.03393939393939394,111,0.02690909090909091,0,0.0,1331,0.32266666666666666,56,0.013575757575757576,2487,0.602909090909091
16,0.4352361052240674,0.1862711114815898,0.9464553789378479,0.2878551737347826,0.5833521015148654,0.0646573300309194,0.5428255356443993,262,0.12208760484622554,0,0.0,0,0.0,1074,0.5004659832246039,35,0.016309412861136997,775,0.36113699906803354,0,0.0,6814,0.9698263592371192,89,0.012667235980643324,9,0.0012809564474807857,2,0.0002846569883290635,112,0.015940791346427556,0,0.0,442,0.7906976744186046,110,0.1967799642218247,2,0.0035778175313059034,0,0.0,5,0.008944543828264758,161,0.030654988575780653,5,0.000952018278750952,3,0.0005712109672505713,3982,0.7581873571972582,125,0.023800456968773802,976,0.18583396801218582,92,0.03169135377196004,3,0.0010334137099552187,0,0.0,2019,0.6954874267998622,105,0.036169479848432655,684,0.23561832586978987,150,0.03636363636363636,109,0.026424242424242423,0,0.0,1314,0.3185454545454545,64,0.015515151515151515,2488,0.6031515151515151
17,0.44814582939850617,0.19172244854391107,0.9478163867402628,0.336357376484765,0.5871019915672369,0.07242947937906627,0.5534472936757951,272,0.1267474370922647,0,0.0,0,0.0,1050,0.48928238583411,27,0.012581547064305684,797,0.37138863000931965,0,0.0,6811,0.9693993737546257,92,0.01309422146313692,7,0.0009962994591517223,2,0.0002846569883290635,114,0.016225448334756618,0,0.0,424,0.7584973166368515,132,0.23613595706618962,1,0.0017889087656529517,0,0.0,2,0.0035778175313059034,168,0.03198781416603199,0,0.0,2,0.0003808073115003808,4002,0.761995430312262,141,0.026846915460776846,939,0.17878903274942878,93,0.03203582500861178,1,0.0003444712366517396,0,0.0,2052,0.7068549776093697,118,0.040647605924905274,639,0.2201171202204616,157,0.03806060606060606,110,0.02666666666666667,0,0.0,1270,0.30787878787878786,56,0.013575757575757576,2532,0.6138181818181818
18,0.4718130865257288,0.20140406354420198,0.9498588083698994,0.41965271429649215,0.5977226132005252,0.09610828486163338,0.5661320348816202,288,0.1342031686859273,0,0.0,0,0.0,1010,0.4706430568499534,27,0.012581547064305684,821,0.3825722273998136,0,0.0,6801,0.9679760888129804,105,0.014944491887275833,4,0.000569313976658127,0,0.0,116,0.01651010532308568,0,0.0,382,0.6833631484794276,177,0.31663685152057247,0,0.0,0,0.0,0,0.0,154,0.029322162985529324,1,0.0001904036557501904,0,0.0,4032,0.7677075399847677,160,0.030464584920030464,905,0.17231530845392232,96,0.033069238718567,0,0.0,0,0.0,2018,0.6951429555632105,160,0.05511539786427833,629,0.2166724078539442,171,0.04145454545454545,110,0.02666666666666667,0,0.0,1175,0.28484848484848485,65,0.01575757575757576,2604,0.6312727272727273
19,0.46839571167171545,0.20035672773018476,0.9495805470036768,0.4034223922498912,0.5956926185592026,0.08962566192304348,0.571696322564294,287,0.1337371854613234,1,0.00046598322460391424,0,0.0,1014,0.4725069897483691,23,0.010717614165890028,821,0.3825722273998136,0,0.0,6808,0.9689723882721321,101,0.014375177910617706,1,0.00014232849416453175,0,0.0,116,0.01651010532308568,0,0.0,391,0.6994633273703041,167,0.29874776386404295,1,0.0017889087656529517,0,0.0,0,0.0,164,0.031226199543031227,0,0.0,0,0.0,3996,0.7608530083777608,153,0.02913175932977913,939,0.17878903274942878,97,0.03341370995521874,0,0.0,0,0.0,2025,0.6975542542197727,148,0.05098174302445746,633,0.21805029280055116,168,0.04072727272727273,113,0.027393939393939394,0,0.0,1127,0.27321212121212124,62,0.015030303030303031,2655,0.6436363636363637
20,0.4649347351755166,0.2011549017789406,0.9496142399097186,0.391784861408326,0.5931135842902664,0.0900823274093625,0.5638584962564857,290,0.13513513513513514,0,0.0,0,0.0,984,0.45852749301025164,31,0.014445479962721343,841,0.3918918918918919,0,0.0,6813,0.9696840307429547,96,0.013663535439795047,3,0.0004269854824935952,0,0.0,114,0.016225448334756618,0,0.0,397,0.7101967799642218,160,0.28622540250447226,2,0.0035778175313059034,0,0.0,0,0.0,166,0.031607006854531605,2,0.0003808073115003808,0,0.0,3938,0.7498095963442498,182,0.034653465346534656,964,0.18354912414318356,100,0.03444712366517396,0,0.0,0,0.0,1979,0.6817085773337926,151,0.052015156734412676,673,0.23182914226662074,178,0.04315151515151515,111,0.02690909090909091,0,0.0,1121,0.27175757575757575,78,0.01890909090909091,2637,0.6392727272727273
21,0.45819085695014,0.19898718971347124,0.9491214702543258,0.3738678569369755,0.5903162661645267,0.07783463048773707,0.5590177281438037,286,0.13327120223671948,0,0.0,0,0.0,1020,0.47530288909599255,31,0.014445479962721343,809,0.37698042870456666,0,0.0,6809,0.9691147167662966,100,0.014232849416453175,1,0.00014232849416453175,0,0.0,116,0.01651010532308568,0,0.0,406,0.7262969588550984,152,0.27191413237924866,1,0.0017889087656529517,0,0.0,0,0.0,159,0.030274181264280275,0,0.0,0,0.0,3946,0.7513328255902514,152,0.028941355674028942,995,0.18945163747143945,100,0.03444712366517396,0,0.0,0,0.0,1986,0.6841198759903548,128,0.04409231829142267,689,0.23734068205304856,179,0.043393939393939394,107,0.02593939393939394,0,0.0,1163,0.28193939393939393,64,0.015515151515151515,2612,0.6332121212121212
22,0.4497275905413074,0.19919007623389573,0.9481825234539135,0.34902586657406875,0.5873046761263939,0.0670055663211643,0.5476568345384082,283,0.13187325256290774,0,0.0,0,0.0,1006,0.46877912395153776,29,0.013513513513513514,828,0.385834109972041,0,0.0,6816,0.9701110162254484,95,0.013521206945630516,3,0.0004269854824935952,0,0.0,112,0.015940791346427556,0,0.0,419,0.7495527728085868,139,0.24865831842576028,1,0.0017889087656529517,0,0.0,0,0.0,149,0.028370144706778372,0,0.0,0,0.0,3947,0.7515232292460016,128,0.024371667936024372,1028,0.19573495811119573,91,0.031346882535308304,0,0.0,0,0.0,2006,0.6910093007233896,108,0.03720289355838787,698,0.24044092318291424,169,0.04096969696969697,116,0.02812121212121212,0,0.0,1225,0.296969696969697,55,0.013333333333333334,2560,0.6206060606060606
23,0.44352141138973683,0.19608846545479047,0.9473635439504214,0.32301364382356984,0.5858166285057547,0.06369056975019867,0.5451556168536864,280,0.13047530288909598,1,0.00046598322460391424,0,0.0,1026,0.47809878844361603,34,0.015843429636533086,805,0.375116495806151,0,0.0,6811,0.9693993737546257,95,0.013521206945630516,6,0.0008539709649871904,0,0.0,114,0.016225448334756618,0,0.0,431,0.7710196779964222,127,0.22719141323792486,1,0.0017889087656529517,0,0.0,0,0.0,161,0.030654988575780653,0,0.0,0,0.0,3947,0.7515232292460016,129,0.02456207159177456,1015,0.19325971058644326,86,0.029624526352049603,0,0.0,1,0.0003444712366517396,1997,0.6879090595935239,103,0.03548053737512918,716,0.24664140544264554,173,0.041939393939393936,110,0.02666666666666667,0,0.0,1246,0.3020606060606061,57,0.013818181818181818,2539,0.6155151515151516
24,0.43617224021514217,0.1895307865070302,0.9470274144638099,0.30109532961718727,0.5866232358991075,0.049931514074454904,0.5428251607292632,269,0.12534948741845295,1,0.00046598322460391424,0,0.0,1050,0.48928238583411,27,0.012581547064305684,799,0.3723205964585275,0,0.0,6819,0.9705380017079419,95,0.013521206945630516,5,0.0007116424708226587,0,0.0,107,0.015229148875604896,0,0.0,442,0.7906976744186046,117,0.20930232558139536,0,0.0,0,0.0,0,0.0,151,0.02875095201827875,0,0.0,0,0.0,3978,0.7574257425742574,100,0.01904036557501904,1023,0.1947829398324448,85,0.029280055115397864,0,0.0,1,0.0003444712366517396,2015,0.6941095418532552,79,0.027213227695487428,723,0.2490527040992077,176,0.042666666666666665,113,0.027393939393939394,0,0.0,1262,0.30593939393939396,49,0.01187878787878788,2525,0.6121212121212121
25,0.4314550883200698,0.1850389062131786,0.9463625795328147,0.28811079918629584,0.5817146460283913,0.05342690805372576,0.534076690906012,264,0.12301957129543337,0,0.0,0,0.0,1049,0.48881640260950604,26,0.012115563839701771,807,0.3760484622553588,0,0.0,6810,0.9692570452604612,94,0.013378878451465983,10,0.0014232849416453174,1,0.00014232849416453175,111,0.015798462852263023,0,0.0,448,0.8014311270125224,111,0.19856887298747763,0,0.0,0,0.0,0,0.0,157,0.029893373952779894,2,0.0003808073115003808,0,0.0,3943,0.7507616146230007,105,0.01999238385376999,1045,0.19897182025894897,91,0.031346882535308304,2,0.0006889424733034792,1,0.0003444712366517396,2005,0.6906648294867379,85,0.029280055115397864,719,0.24767481915260076,191,0.046303030303030304,104,0.025212121212121213,0,0.0,1297,0.31442424242424244,53,0.012848484848484849,2480,0.6012121212121212
