layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
10,0.3267851726046238,0.168125855697548,0.5633945124497354,0.05079018564257949,0.5248301366286323,229,0.10671015843429636,1229,0.5726933830382106,29,0.013513513513513514,659,0.3070829450139795,135,0.025704493526275705,3923,0.746953541507997,99,0.01884996191926885,1095,0.20849200304645849,81,0.027902170168790905,1964,0.6765415087840165,81,0.027902170168790905,777,0.26765415087840166,132,0.032,1559,0.37793939393939396,65,0.01575757575757576,2369,0.5743030303030303
11,0.32987851471965624,0.17066260623157886,0.5594267526767867,0.0598063934119059,0.5296183065583537,234,0.10904007455731593,1263,0.5885368126747437,20,0.009319664492078284,629,0.29310344827586204,153,0.02913175932977913,3907,0.743907083015994,96,0.01827875095201828,1096,0.2086824067022087,79,0.027213227695487428,1986,0.6841198759903548,95,0.03272476748191526,743,0.2559421288322425,131,0.031757575757575755,1560,0.3781818181818182,59,0.014303030303030304,2375,0.5757575757575758
12,0.3382047911845277,0.18380003137082088,0.5656377900291876,0.06531027755511545,0.5380710657829868,255,0.11882572227399814,1180,0.5498602050326188,34,0.015843429636533086,677,0.31547064305684996,159,0.030274181264280275,3914,0.7452399086062452,109,0.020753998476770754,1070,0.20373191165270374,89,0.030657940062004823,1982,0.6827419910437479,105,0.036169479848432655,727,0.25043058904581467,126,0.030545454545454546,1512,0.36654545454545456,58,0.01406060606060606,2429,0.5888484848484848
13,0.3407484544232282,0.18564407122969206,0.5655214218827834,0.06824354688416119,0.543584777696276,259,0.1206896551724138,1168,0.5442684063373718,23,0.010717614165890028,696,0.32432432432432434,157,0.029893373952779894,3886,0.7399086062452399,108,0.020563594821020565,1101,0.20963442498095963,84,0.028935583878746125,1981,0.6823975198070961,109,0.03754736479503962,729,0.25111953151911814,141,0.03418181818181818,1456,0.352969696969697,46,0.011151515151515152,2482,0.6016969696969697
14,0.3390091424159807,0.1594329938783913,0.5748374591329515,0.06747287348289475,0.5542932431696852,214,0.09972041006523766,1173,0.5465983224603914,29,0.013513513513513514,730,0.3401677539608574,136,0.025894897182025894,3970,0.7559025133282559,105,0.01999238385376999,1041,0.1982102056359482,70,0.02411298656562177,2004,0.6903203582500861,108,0.03720289355838787,721,0.24836376162590423,119,0.02884848484848485,1414,0.3427878787878788,55,0.013333333333333334,2537,0.615030303030303
15,0.3489011110617578,0.1699036689694349,0.5846520087342192,0.0721275392178037,0.5689212273255734,235,0.10950605778191985,1117,0.5205032618825722,29,0.013513513513513514,765,0.35647716682199443,158,0.030083777608530083,4002,0.761995430312262,120,0.02284843869002285,972,0.18507235338918507,87,0.029968997588701342,2005,0.6906648294867379,117,0.04030313468825353,694,0.23906303823630726,141,0.03418181818181818,1314,0.3185454545454545,64,0.015515151515151515,2606,0.6317575757575757
16,0.35222822709253077,0.18294940754061445,0.5855340548572797,0.07277083381216011,0.5676586121600687,258,0.12022367194780988,1074,0.5004659832246039,31,0.014445479962721343,783,0.36486486486486486,170,0.03236862147753237,3995,0.7606626047220106,119,0.022658035034272658,968,0.1843107387661843,91,0.031346882535308304,2015,0.6941095418532552,118,0.040647605924905274,679,0.23389596968653117,153,0.03709090909090909,1309,0.31733333333333336,65,0.01575757575757576,2598,0.6298181818181818
17,0.36029507504975167,0.19114801749899807,0.5900129105430536,0.07794165231704356,0.5820777198399114,269,0.12534948741845295,1060,0.4939422180801491,26,0.012115563839701771,791,0.3685927306616962,158,0.030083777608530083,4029,0.7671363290175172,134,0.025514089870525513,931,0.17726580350342727,85,0.029280055115397864,2060,0.7096107475025836,127,0.04374784705477092,631,0.21736135032724768,157,0.03806060606060606,1256,0.30448484848484847,53,0.012848484848484849,2659,0.6446060606060606
18,0.36943349189974606,0.20334882667771095,0.5956898648375273,0.09073685236770768,0.5879584237160383,291,0.13560111835973904,1009,0.4701770736253495,24,0.011183597390493943,822,0.3830382106244175,158,0.030083777608530083,4023,0.765993907083016,155,0.029512566641279513,916,0.1744097486671744,93,0.03203582500861178,2038,0.7020323802962453,150,0.05167068549776094,622,0.214261109197382,172,0.0416969696969697,1185,0.2872727272727273,68,0.016484848484848484,2700,0.6545454545454545
19,0.3720513988151134,0.2082026986256614,0.5972375665304888,0.08530925552527077,0.5974560745790325,298,0.13886300093196646,996,0.4641192917054986,23,0.010717614165890028,829,0.38630009319664493,163,0.031035795887281035,4006,0.7627570449352628,146,0.027798933739527798,937,0.17840822543792842,89,0.030657940062004823,2042,0.7034102652428522,140,0.04822597313124354,632,0.21770582156389942,166,0.04024242424242424,1119,0.2712727272727273,62,0.015030303030303031,2778,0.6734545454545454
20,0.3699658173943416,0.20369952905258656,0.5945198128475131,0.09239740455932374,0.5892465231179429,293,0.13653308480894688,987,0.4599254426840634,27,0.012581547064305684,839,0.39095992544268404,159,0.030274181264280275,3954,0.7528560548362528,173,0.03293983244478294,966,0.18392993145468392,104,0.035825008611780916,1980,0.6820530485704444,154,0.05304857044436789,665,0.22907337237340683,173,0.041939393939393936,1130,0.2739393939393939,68,0.016484848484848484,2754,0.6676363636363636
21,0.3628901006137327,0.19633555573769595,0.5918171577258301,0.08180594860439083,0.581601740387014,282,0.13140726933830382,1004,0.4678471575023299,37,0.017241379310344827,823,0.38350419384902146,166,0.031607006854531605,3949,0.7519040365575019,151,0.02875095201827875,986,0.18773800456968773,92,0.03169135377196004,1983,0.6830864622803996,135,0.04650361694798484,693,0.23871856699965552,184,0.04460606060606061,1158,0.2807272727272727,66,0.016,2717,0.6586666666666666
22,0.3527467741765484,0.19441998009697037,0.586355432581417,0.05780190212870626,0.5724097818991002,276,0.12861136999068035,1004,0.4678471575023299,31,0.014445479962721343,835,0.3890959925442684,161,0.030654988575780653,3938,0.7498095963442498,131,0.024942878903274943,1022,0.19459253617669459,87,0.029968997588701342,2018,0.6951429555632105,93,0.03203582500861178,705,0.2428522218394764,170,0.041212121212121214,1219,0.2955151515151515,55,0.013333333333333334,2681,0.6499393939393939
23,0.3512989636308935,0.18938030510772869,0.5848331419846236,0.06281203331355013,0.5681703741176716,269,0.12534948741845295,1046,0.4874184529356943,28,0.0130475302889096,803,0.37418452935694313,168,0.03198781416603199,3942,0.7505712109672505,119,0.022658035034272658,1023,0.1947829398324448,84,0.028935583878746125,1999,0.6885980020668274,101,0.0347915949018257,719,0.24767481915260076,173,0.041939393939393936,1241,0.30084848484848487,64,0.015515151515151515,2647,0.6416969696969697
24,0.3473124759328512,0.18541249868590048,0.5853174796764833,0.05262742243307343,0.5658925029359475,263,0.12255358807082944,1056,0.49207828518173347,23,0.010717614165890028,804,0.3746505125815471,156,0.0297029702970297,3968,0.7555217060167555,95,0.018088347296268088,1033,0.1966869763899467,85,0.029280055115397864,2019,0.6954874267998622,83,0.028591112642094386,716,0.24664140544264554,184,0.04460606060606061,1263,0.30618181818181817,43,0.010424242424242424,2635,0.6387878787878788
25,0.3430792148809275,0.1815542469967522,0.5803919371890441,0.05530970871706744,0.5550609666208463,258,0.12022367194780988,1039,0.48415657036346693,27,0.012581547064305684,822,0.3830382106244175,158,0.030083777608530083,3926,0.7475247524752475,115,0.021896420411271895,1053,0.2004950495049505,87,0.029968997588701342,2008,0.691698243196693,88,0.030313468825353084,720,0.2480192903892525,193,0.04678787878787879,1303,0.31587878787878787,48,0.011636363636363636,2581,0.6256969696969698
26,0.3429727944527196,0.17559525304470175,0.5805145559809001,0.05808398704192883,0.5576973817433478,248,0.11556383970177074,1064,0.4958061509785648,24,0.011183597390493943,810,0.37744641192917056,152,0.028941355674028942,3933,0.7488575780654989,105,0.01999238385376999,1062,0.2022086824067022,89,0.030657940062004823,2005,0.6906648294867379,92,0.03169135377196004,717,0.24698587667929728,189,0.04581818181818182,1296,0.3141818181818182,44,0.010666666666666666,2596,0.6293333333333333
27,0.3325429400090396,0.15874547755487184,0.575969835514701,0.04756132173629647,0.547895125230289,219,0.10205032618825723,1069,0.49813606710158437,34,0.015843429636533086,824,0.38397017707362535,144,0.027418126428027417,3917,0.7458111195734958,99,0.01884996191926885,1092,0.2079207920792079,79,0.027213227695487428,2008,0.691698243196693,75,0.02583534274888047,741,0.255253186358939,169,0.04096969696969697,1355,0.3284848484848485,42,0.010181818181818183,2559,0.6203636363636363
