layer,f1_macro,f1_capable_failed,f1_deception,f1_deception_rejection,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_deception,cm_norm_capable_failed_deception,cm_capable_failed_deception_rejection,cm_norm_capable_failed_deception_rejection,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_deception_capable_failed,cm_norm_deception_capable_failed,cm_deception_deception,cm_norm_deception_deception,cm_deception_deception_rejection,cm_norm_deception_deception_rejection,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_deception_truth,cm_norm_deception_truth,cm_deception_rejection_capable_failed,cm_norm_deception_rejection_capable_failed,cm_deception_rejection_deception,cm_norm_deception_rejection_deception,cm_deception_rejection_deception_rejection,cm_norm_deception_rejection_deception_rejection,cm_deception_rejection_honest_mistake,cm_norm_deception_rejection_honest_mistake,cm_deception_rejection_natural_deception,cm_norm_deception_rejection_natural_deception,cm_deception_rejection_truth,cm_norm_deception_rejection_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_deception_rejection,cm_norm_honest_mistake_deception_rejection,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_deception_rejection,cm_norm_natural_deception_deception_rejection,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_deception,cm_norm_truth_deception,cm_truth_deception_rejection,cm_norm_truth_deception_rejection,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
10,0.39701835361635096,0.37807150648059307,0.9342586456111558,0.0,0.500997069033098,0.05969531046112151,0.5090875901121372,1052,0.3509006004002668,99,0.03302201467645097,0,0.0,819,0.27318212141427617,20,0.0066711140760507,1008,0.3362241494329553,26,0.004044803982576229,6188,0.9626633478531424,3,0.0004667081518357187,22,0.003422526446795271,1,0.00015556938394523958,188,0.02924704418170504,0,0.0,132,0.9635036496350365,0,0.0,0,0.0,0,0.0,5,0.0364963503649635,564,0.14679854242581988,108,0.028110359187922956,0,0.0,2144,0.5580426861009891,81,0.021082769390942217,945,0.24596564289432588,247,0.12640736949846468,49,0.025076765609007165,0,0.0,982,0.5025588536335721,65,0.03326509723643808,611,0.3126919140225179,677,0.16724308300395258,243,0.060029644268774704,0,0.0,750,0.18527667984189725,54,0.0133399209486166,2324,0.5741106719367589
11,0.4100269357992954,0.38977331581797114,0.9719998398391834,0.013333333333333332,0.5083329615412447,0.05066061995301245,0.5260615443110271,1115,0.37191460973982654,0,0.0,0,0.0,815,0.27184789859906605,20,0.0066711140760507,1048,0.3495663775850567,0,0.0,6319,0.9830429371499689,4,0.0006222775357809583,1,0.00015556938394523958,0,0.0,104,0.016179215930304917,0,0.0,136,0.9927007299270073,1,0.0072992700729927005,0,0.0,0,0.0,0,0.0,619,0.16111400312337323,0,0.0,0,0.0,2184,0.5684539302446643,66,0.01717855283706403,973,0.25325351379489847,277,0.14176049129989765,0,0.0,0,0.0,995,0.5092118730808598,54,0.027635619242579325,628,0.32139201637666326,712,0.17588932806324112,119,0.029397233201581028,0,0.0,755,0.1865118577075099,35,0.008646245059288538,2427,0.5995553359683794
12,0.41649683027087886,0.396684880708226,0.9710596836329183,0.0,0.521100735071879,0.06864876930513976,0.5414869129071099,1115,0.37191460973982654,1,0.000333555703802535,0,0.0,839,0.27985323549032687,11,0.003669112741827885,1032,0.3442294863242161,0,0.0,6309,0.9814872433105165,4,0.0006222775357809583,1,0.00015556938394523958,0,0.0,114,0.01773490976975731,0,0.0,137,1.0,0,0.0,0,0.0,0,0.0,0,0.0,597,0.1553878188443519,0,0.0,0,0.0,2241,0.5832899531494014,91,0.02368558042686101,913,0.23763664757938574,245,0.1253838280450358,0,0.0,0,0.0,983,0.5030706243602866,75,0.0383828045035824,651,0.33316274309109517,668,0.1650197628458498,119,0.029397233201581028,0,0.0,694,0.17144268774703558,58,0.01432806324110672,2509,0.6198122529644269
13,0.41829098332029574,0.3999502904811865,0.9720623217814938,0.0,0.5279252418400173,0.059784188559132465,0.5500238572599446,1128,0.3762508338892595,1,0.000333555703802535,0,0.0,850,0.2835223482321548,20,0.0066711140760507,999,0.33322214809873246,0,0.0,6316,0.9825762289981331,1,0.00015556938394523958,0,0.0,0,0.0,111,0.017268201617921593,0,0.0,137,1.0,0,0.0,0,0.0,0,0.0,0,0.0,591,0.15382613222280062,1,0.0002602811035918792,0,0.0,2284,0.5944820406038521,79,0.02056220718375846,887,0.23086933888599687,246,0.12589559877175024,0,0.0,0,0.0,1007,0.515353121801433,65,0.03326509723643808,636,0.3254861821903787,677,0.16724308300395258,112,0.02766798418972332,0,0.0,668,0.1650197628458498,57,0.01408102766798419,2534,0.6259881422924901
14,0.41725296922610083,0.38903905405937284,0.9704409034939058,0.0,0.528218400307132,0.06607236418851817,0.5497470933076762,1079,0.3599066044029353,0,0.0,0,0.0,910,0.3035356904603069,16,0.00533689126084056,993,0.3312208138759173,1,0.00015556938394523958,6306,0.9810205351586808,2,0.00031113876789047915,0,0.0,0,0.0,119,0.01851275668948351,0,0.0,137,1.0,0,0.0,0,0.0,0,0.0,0,0.0,583,0.15174388339406558,0,0.0,0,0.0,2322,0.6043727225403436,72,0.018740239458615304,865,0.22514315460697554,235,0.1202661207778915,0,0.0,0,0.0,1025,0.5245649948822927,72,0.0368474923234391,622,0.31832139201637666,651,0.16082015810276679,125,0.030879446640316204,0,0.0,691,0.170701581027668,62,0.015316205533596838,2519,0.6222826086956522
15,0.4184198585802646,0.4032567516764923,0.9703452521029678,0.0,0.5313982974958983,0.06184028859216395,0.5436785616140655,1150,0.38358905937291526,1,0.000333555703802535,0,0.0,822,0.2741827885256838,19,0.0063375583722481655,1006,0.33555703802535025,1,0.00015556938394523958,6301,0.9802426882389546,3,0.0004667081518357187,1,0.00015556938394523958,0,0.0,122,0.018979464841319228,0,0.0,137,1.0,0,0.0,0,0.0,0,0.0,0,0.0,596,0.15512753774076002,1,0.0002602811035918792,0,0.0,2282,0.5939614783966684,71,0.018479958355023425,892,0.23217074440395627,253,0.12947799385875128,0,0.0,0,0.0,980,0.5015353121801432,67,0.03428863868986694,654,0.33469805527123847,706,0.17440711462450592,119,0.029397233201581028,0,0.0,659,0.16279644268774704,55,0.01358695652173913,2509,0.6198122529644269
16,0.4367665971825785,0.39666066290051605,0.9711504469153741,0.08914972440589139,0.5343555203392857,0.07811651221618583,0.5511667163182172,1133,0.3779186124082722,1,0.000333555703802535,0,0.0,840,0.2801867911941294,23,0.007671781187458306,1001,0.3338892595063376,2,0.00031113876789047915,6296,0.9794648413192284,9,0.0014001244555071563,3,0.0004667081518357187,0,0.0,118,0.01835718730553827,1,0.0072992700729927005,129,0.9416058394160584,7,0.051094890510948905,0,0.0,0,0.0,0,0.0,613,0.15955231650182197,0,0.0,0,0.0,2329,0.6061946902654868,86,0.022384174908901613,814,0.2118688183237897,247,0.12640736949846468,0,0.0,0,0.0,1026,0.5250767656090072,86,0.044012282497441144,595,0.304503582395087,718,0.1773715415019763,112,0.02766798418972332,0,0.0,674,0.166501976284585,42,0.010375494071146246,2502,0.6180830039525692
17,0.4384387169145118,0.40815819455853974,0.9694056223046396,0.08957665379833804,0.5408523223281456,0.06694079601053649,0.5556987124868713,1155,0.38525683789192794,0,0.0,0,0.0,836,0.27885256837891925,22,0.00733822548365577,985,0.328552368245497,0,0.0,6290,0.9785314250155569,8,0.0012445550715619166,0,0.0,0,0.0,130,0.020224019912881145,0,0.0,130,0.948905109489051,7,0.051094890510948905,0,0.0,0,0.0,0,0.0,581,0.15122332118688184,0,0.0,0,0.0,2368,0.61634565330557,75,0.019521082769390942,818,0.21290994273815722,251,0.1284544524053224,0,0.0,0,0.0,1043,0.5337768679631525,73,0.03735926305015353,587,0.30040941658137155,673,0.16625494071146246,129,0.03186758893280633,0,0.0,667,0.16477272727272727,52,0.012845849802371542,2527,0.6242588932806324
18,0.45029675153258736,0.4117313803667436,0.9703097115867774,0.14858818600754084,0.5435421076514684,0.07251167520732546,0.5550974483756683,1177,0.3925950633755837,0,0.0,0,0.0,836,0.27885256837891925,24,0.008005336891260841,961,0.3205470313542362,0,0.0,6292,0.9788425637834475,11,0.0017112632233976354,0,0.0,0,0.0,125,0.01944617299315495,0,0.0,125,0.9124087591240876,12,0.08759124087591241,0,0.0,0,0.0,0,0.0,593,0.1543466944299844,0,0.0,0,0.0,2389,0.6218115564809995,67,0.017438833940655908,793,0.20640291514836023,257,0.131525076765609,0,0.0,0,0.0,1038,0.5312180143295804,79,0.040429887410440124,580,0.2968270214943705,691,0.170701581027668,124,0.030632411067193676,0,0.0,686,0.16946640316205533,47,0.011610671936758894,2500,0.6175889328063241
19,0.47457996243457706,0.4170449425814188,0.9705225549909992,0.2658304627344875,0.5519853280482285,0.07688011223395474,0.565216374018374,1193,0.3979319546364243,0,0.0,0,0.0,827,0.27585056704469646,24,0.008005336891260841,954,0.3182121414276184,0,0.0,6289,0.9783758556316117,20,0.0031113876789047915,1,0.00015556938394523958,0,0.0,118,0.01835718730553827,0,0.0,113,0.8248175182481752,24,0.17518248175182483,0,0.0,0,0.0,0,0.0,573,0.1491410723581468,0,0.0,0,0.0,2428,0.6319625195210827,76,0.01978136387298282,765,0.19911504424778761,257,0.131525076765609,0,0.0,0,0.0,1063,0.5440122824974412,84,0.042988741044012284,550,0.28147389969293757,700,0.17292490118577075,130,0.032114624505928856,0,0.0,637,0.1573616600790514,46,0.011363636363636364,2535,0.6262351778656127
20,0.510573773515978,0.41378649350453867,0.9712599695728787,0.4352983772752707,0.5639194653302669,0.10356214322278738,0.5756161921901256,1175,0.39192795196797864,0,0.0,0,0.0,795,0.26517678452301535,28,0.009339559706470981,1000,0.333555703802535,1,0.00015556938394523958,6286,0.977909147479776,17,0.002644679527069073,0,0.0,0,0.0,124,0.019290603609209707,0,0.0,94,0.6861313868613139,43,0.31386861313868614,0,0.0,0,0.0,0,0.0,562,0.14627798021863614,0,0.0,0,0.0,2493,0.6488807912545549,101,0.026288391462779802,686,0.17855283706402916,239,0.12231320368474924,0,0.0,0,0.0,1118,0.5721596724667349,117,0.059877175025588536,480,0.24564994882292732,703,0.17366600790513834,136,0.03359683794466403,0,0.0,593,0.14649209486166007,55,0.01358695652173913,2561,0.6326581027667985
21,0.523483479201356,0.4197310038740419,0.9721608915241478,0.49058011755686176,0.5658211441750077,0.11604949590477949,0.5765582221732968,1199,0.3999332888592395,0,0.0,0,0.0,758,0.25283522348232157,24,0.008005336891260841,1017,0.3392261507671781,0,0.0,6286,0.977909147479776,17,0.002644679527069073,0,0.0,0,0.0,125,0.01944617299315495,0,0.0,86,0.6277372262773723,51,0.3722627737226277,0,0.0,0,0.0,0,0.0,556,0.14471629359708485,0,0.0,2,0.0005205622071837585,2484,0.646538261322228,114,0.029672045809474232,686,0.17855283706402916,262,0.13408393039918118,0,0.0,0,0.0,1101,0.5634595701125895,133,0.06806550665301944,458,0.23439099283520984,696,0.17193675889328064,132,0.03260869565217391,0,0.0,595,0.14698616600790515,60,0.014822134387351778,2565,0.6336462450592886
22,0.5207370376169602,0.4237956313579347,0.9723298699572969,0.4685577580314423,0.5677324470891956,0.11735601355166572,0.5746505057142262,1200,0.400266844563042,0,0.0,0,0.0,772,0.25750500333555704,22,0.00733822548365577,1004,0.33488992661774514,0,0.0,6290,0.9785314250155569,19,0.002955818294959552,3,0.0004667081518357187,0,0.0,116,0.01804604853764779,0,0.0,89,0.6496350364963503,48,0.35036496350364965,0,0.0,0,0.0,0,0.0,525,0.1366475793857366,0,0.0,0,0.0,2512,0.6538261322228006,101,0.026288391462779802,704,0.18323789692868298,234,0.11975435005117707,0,0.0,0,0.0,1119,0.5726714431934493,133,0.06806550665301944,468,0.23950870010235414,704,0.17391304347826086,131,0.032361660079051384,0,0.0,601,0.14846837944664032,56,0.01383399209486166,2556,0.6314229249011858
23,0.5219940585246476,0.4214130529902098,0.9719646518186806,0.47212918620342215,0.5709657547294584,0.12268432803717957,0.5728073773689347,1207,0.40260173448965975,0,0.0,0,0.0,782,0.2608405603735824,18,0.00600400266844563,991,0.3305537024683122,1,0.00015556938394523958,6293,0.9789981331673927,19,0.002955818294959552,0,0.0,0,0.0,115,0.01789047915370255,0,0.0,88,0.6423357664233577,49,0.35766423357664234,0,0.0,0,0.0,0,0.0,525,0.1366475793857366,0,0.0,0,0.0,2520,0.6559083810515357,131,0.03409682457053618,666,0.17334721499219158,270,0.13817809621289662,0,0.0,0,0.0,1083,0.5542476970317298,142,0.07267144319344933,459,0.23490276356192427,725,0.17910079051383399,140,0.03458498023715415,0,0.0,599,0.14797430830039526,64,0.015810276679841896,2520,0.6225296442687747
24,0.5203609670330757,0.41907403382305625,0.971847801488239,0.46846400766338975,0.5705391988761689,0.11629899481812718,0.5759417655294736,1187,0.39593062041360905,0,0.0,1,0.000333555703802535,798,0.26617745163442297,21,0.007004669779853236,991,0.3305537024683122,1,0.00015556938394523958,6283,0.9774424393279403,22,0.003422526446795271,0,0.0,0,0.0,122,0.018979464841319228,0,0.0,87,0.635036496350365,50,0.36496350364963503,0,0.0,0,0.0,0,0.0,520,0.1353461738677772,0,0.0,0,0.0,2535,0.6598125976054139,121,0.031494013534617386,666,0.17334721499219158,244,0.12487205731832139,0,0.0,0,0.0,1120,0.5731832139201638,134,0.06857727737973388,456,0.23336745138178097,714,0.17638339920948617,132,0.03260869565217391,0,0.0,590,0.14575098814229248,71,0.017539525691699604,2541,0.6277173913043478
25,0.5278898922457405,0.41987433927257023,0.9719443633156521,0.4836438923395446,0.5680922411898873,0.1432327542352992,0.5805517631214888,1195,0.39859906604402934,0,0.0,1,0.000333555703802535,799,0.26651100733822547,21,0.007004669779853236,982,0.3275517011340894,0,0.0,6288,0.9782202862476664,19,0.002955818294959552,0,0.0,0,0.0,121,0.01882389545737399,0,0.0,86,0.6277372262773723,51,0.3722627737226277,0,0.0,0,0.0,0,0.0,552,0.14367516918271733,0,0.0,0,0.0,2509,0.653045288912025,132,0.03435710567412806,649,0.16892243623112962,241,0.12333674513817809,0,0.0,0,0.0,1098,0.5619242579324463,168,0.08597748208802457,447,0.22876151484135107,705,0.1741600790513834,137,0.03384387351778656,0,0.0,583,0.14402173913043478,68,0.016798418972332016,2555,0.6311758893280632
26,0.5216659456711976,0.4096166588512566,0.9720077171706809,0.458039208178581,0.5689412187959693,0.13833480130682352,0.5830560697238747,1148,0.3829219479653102,0,0.0,0,0.0,803,0.26784523015343564,26,0.00867244829886591,1021,0.3405603735823883,1,0.00015556938394523958,6286,0.977909147479776,19,0.002955818294959552,0,0.0,0,0.0,122,0.018979464841319228,0,0.0,89,0.6496350364963503,48,0.35036496350364965,0,0.0,0,0.0,0,0.0,549,0.1428943258719417,0,0.0,0,0.0,2509,0.653045288912025,125,0.0325351379489849,659,0.1715252472670484,229,0.11719549641760492,0,0.0,0,0.0,1098,0.5619242579324463,162,0.08290685772773797,465,0.23797338792221084,679,0.16773715415019763,131,0.032361660079051384,0,0.0,565,0.13957509881422925,74,0.018280632411067192,2599,0.6420454545454546
